Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,43.442,43.504,42.724,43.114,427358
2015-01-05,42.893,43.273,42.048,42.404,970364
2015-01-07,42.198,44.705,42.198,44.349,2572534
2015-01-08,44.402,45.556,44.118,45.556,1021437
2015-01-09,45.378,46.081,44.934,45.529,1086395
2015-01-12,45.316,45.707,44.669,45.69,470941
2015-01-13,45.556,46.134,45.547,46.134,1034236
2015-01-14,46.088,46.088,44.882,45.467,1303165
2015-01-15,45.991,46.081,43.709,43.842,1520822
2015-01-16,43.958,45.014,43.257,44.811,1191782
2015-01-19,44.811,45.077,43.735,44.74,835825
2015-01-20,44.971,46.294,44.748,45.29,873582
2015-01-21,45.52,47.066,45.512,47.066,1239707
2015-01-22,47.066,47.856,46.773,46.809,838502
2015-01-23,46.134,47.385,45.733,47.341,1311624
2015-01-26,47.155,47.155,46.188,46.533,692829
2015-01-27,46.577,48.176,46.577,47.91,1545892
2015-01-28,47.954,47.954,46.879,46.879,883847
2015-01-29,46.755,49.064,46.755,49.019,1544115
2015-01-30,48.841,49.588,47.963,48.709,1398674
2015-02-02,48.495,49.632,46.809,46.879,1541411
2015-02-03,47.145,48.398,46.915,48.398,1434567
2015-02-04,48.398,49.064,48.069,48.78,1155577
2015-02-05,48.292,49.268,47.954,48.308,1972111
2015-02-06,48.087,49.189,48.087,49.189,1195099
2015-02-09,49.01,49.01,48.424,48.841,872037
2015-02-10,48.788,49.196,48.469,48.877,885129
2015-02-11,48.841,49.082,47.971,48.238,1126104
2015-02-12,49.676,49.73,48.621,49.676,1158280
2015-02-13,49.552,50.174,49.296,50.076,1618844
2015-02-16,49.987,50.164,49.871,50.13,1116700
2015-02-17,50.12,50.342,49.943,50.174,784524
2015-02-18,50.352,50.352,49.206,49.206,1324472
2015-02-19,49.331,49.499,48.132,48.266,1323171
2015-02-20,48.22,48.841,47.999,48.841,700340
2015-02-23,48.887,50.227,48.887,50.174,1774384
2015-02-24,49.952,50.218,49.757,50.084,1289432
2015-02-25,49.907,50.147,49.215,49.463,2129239
2015-02-26,49.339,49.509,48.983,49.154,554676
2015-02-27,48.921,49.154,48.052,48.495,924247
2015-03-02,48.566,49.286,48.132,49.286,1269504
2015-03-03,48.983,49.446,48.353,48.593,2067505
2015-03-04,48.753,49.286,47.803,48.424,864765
2015-03-05,48.478,49.357,48.478,49.196,1007142
2015-03-06,48.931,49.641,48.788,49.641,735812
2015-03-09,50.608,50.608,49.242,50.174,1055227
2015-03-10,49.933,50.076,48.947,49.073,967880
2015-03-11,48.868,49.18,47.793,48.122,1061657
2015-03-12,48.14,48.664,47.839,47.971,2048216
