Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,35.303,35.402,34.79,35.263,982590
2015-01-05,35.283,35.333,34.612,34.612,1553618
2015-01-07,34.839,35.392,34.661,34.74,2485500
2015-01-08,35.036,36.112,35.036,36.102,4078027
2015-01-09,36.181,36.201,35.481,35.678,1266859
2015-01-12,35.629,35.954,35.194,35.708,1148028
2015-01-13,35.53,36.675,35.53,36.418,2211875
2015-01-14,36.171,36.319,35.737,35.885,1809725
2015-01-15,36.142,36.221,32.668,33.546,23380182
2015-01-16,33.556,33.556,32.164,32.569,14544842
2015-01-19,32.974,33.477,32.658,32.678,4730676
2015-01-20,32.934,33.122,31.74,31.74,6055298
2015-01-21,31.829,32.737,31.335,32.737,4996028
2015-01-22,32.717,33.457,32.707,32.915,2971192
2015-01-23,33.161,33.299,32.569,32.569,2393273
2015-01-26,32.451,32.451,31.503,31.977,4123287
2015-01-27,32.076,32.747,31.78,32.016,4141501
2015-01-28,32.046,34.02,32.026,33.665,11029135
2015-01-29,33.556,34.089,33.329,33.852,3308299
2015-01-30,33.852,34.069,33.724,33.892,2316991
2015-02-02,34.05,34.217,33.408,33.882,2081025
2015-02-03,34.05,34.05,33.013,33.211,4074457
2015-02-04,33.309,33.507,32.865,33.467,4655224
2015-02-05,33.546,33.704,33.112,33.309,3927426
2015-02-06,33.319,33.497,32.816,32.974,3238499
2015-02-09,32.974,33.142,32.49,32.865,2690218
2015-02-10,32.984,33.043,32.53,32.569,2458162
2015-02-11,32.924,32.924,31.977,31.977,3581618
2015-02-12,32.164,32.727,32.076,32.105,3206483
2015-02-13,32.194,32.441,32.076,32.322,2120185
2015-02-16,32.431,32.974,32.431,32.865,2549290
2015-02-17,32.766,32.954,32.579,32.628,1568918
2015-02-18,32.816,32.915,32.224,32.224,1722988
2015-02-19,32.372,32.559,31.928,32.214,3110175
2015-02-20,32.194,32.401,31.908,31.977,1299321
2015-02-23,32.234,32.5,32.076,32.382,2072302
2015-02-24,32.461,32.895,32.194,32.895,2617997
2015-02-25,32.895,33.053,32.322,32.411,1395772
2015-02-26,32.174,32.421,32.056,32.174,3571293
2015-02-27,32.174,32.224,31.918,32.174,3295437
2015-03-02,32.194,32.234,31.799,32.115,1747548
2015-03-03,32.164,32.174,31.395,31.78,3012727
2015-03-04,31.681,32.993,31.296,32.875,8095830
2015-03-05,32.875,34.04,32.875,33.901,10031269
2015-03-06,34.03,34.04,33.408,33.546,4597957
2015-03-09,33.497,33.832,33.23,33.556,2462211
2015-03-10,33.536,33.852,33.25,33.378,3260498
2015-03-11,33.349,33.783,33.161,33.753,3390900
2015-03-12,33.773,34.05,33.467,34.05,2980345
2015-03-13,33.793,34.109,33.625,33.803,3001864
2015-03-16,34.05,34.336,33.901,34.336,3306556
2015-03-17,34.346,34.523,34.237,34.395,1941797
2015-03-18,34.346,34.721,34.316,34.346,2520158
2015-03-19,34.513,35.086,34.494,35.086,2967056
2015-03-20,35.036,35.431,35.027,35.283,5669589
2015-03-23,35.283,35.352,34.691,34.967,2000435
2015-03-24,34.79,34.888,34.04,34.395,3743030
2015-03-25,34.395,34.642,33.467,33.605,4733301
2015-03-26,33.467,33.526,33.063,33.132,3129722
2015-03-27,33.26,33.734,33.181,33.181,3053158
2015-03-30,33.25,33.605,33.112,33.112,2182271
2015-03-31,33.29,33.674,33.22,33.556,2286911
2015-04-01,33.26,33.517,33.211,33.428,2931751
2015-04-02,33.428,33.665,33.132,33.546,4404224
2015-04-07,33.901,34,33.566,33.744,2456857
2015-04-08,33.655,34,33.556,33.734,2250386
2015-04-09,33.615,33.971,33.507,33.753,2249757
2015-04-10,33.753,33.911,33.457,33.546,1850556
2015-04-13,33.596,33.832,33.497,33.832,1260522
2015-04-14,33.714,33.971,33.536,33.684,1478470
2015-04-15,33.507,34.987,33.507,34.987,3604376
2015-04-16,34.977,35.747,34.888,35.658,5438180
2015-04-17,35.53,36.122,35.481,35.53,4434870
2015-04-20,35.431,36.043,35.086,36.043,3542083
2015-04-21,36.102,36.26,35.53,35.806,2255581
2015-04-22,35.767,35.974,35.402,35.777,1253851
2015-04-23,35.974,35.974,35.441,35.54,2576829
2015-04-24,35.53,35.658,35.372,35.461,1582796
2015-04-27,35.333,35.895,35.036,35.283,4044202
2015-04-28,35.214,35.727,35.214,35.727,3076673
2015-04-29,35.678,35.708,35.333,35.648,1393989
2015-04-30,35.53,35.806,35.313,35.629,1853169
2015-05-04,35.629,36.31,35.402,36.112,3447596
2015-05-05,36.023,36.389,35.56,35.994,1978124
2015-05-06,35.925,36.764,35.777,36.764,5753995
2015-05-07,36.714,37.05,36.171,36.783,2521408
2015-05-08,36.783,37.297,36.655,37.208,3493286
2015-05-11,36.833,37.05,36.665,36.764,2052745
2015-05-12,36.764,37.109,36.221,37.109,2112172
2015-05-13,36.487,36.487,34.938,35.194,8744995
2015-05-14,35.184,35.333,34.434,35.036,4173541
2015-05-15,35.184,35.431,34.602,34.74,1773273
2015-05-18,34.928,35.184,34.582,34.938,1567435
2015-05-19,34.977,35.283,34.592,34.592,1379264
2015-05-20,34.592,34.888,34.405,34.78,2338914
2015-05-21,34.74,35.333,34.642,35.283,3386535
2015-05-22,35.224,35.481,34.888,35.184,3578601
2015-05-25,34.642,34.642,33.388,33.556,4044361
2015-05-26,33.388,33.793,32.569,32.628,6125707
2015-05-27,32.707,32.845,32.194,32.569,9054957
2015-05-28,32.796,32.915,32.401,32.401,2371482
