Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-12,19.198,19.803,19.148,19.803,131351676
2010-05-13,19.692,19.906,19.474,19.638,32875733
2010-05-14,19.544,19.803,19.434,19.528,19216595
2010-05-17,19.032,19.417,18.989,19.308,16931470
2010-05-18,19.28,19.517,19.269,19.417,10442771
2010-05-19,19.265,19.352,19.027,19.027,16812903
2010-05-20,18.923,18.978,18.181,18.208,18859101
2010-05-21,18.208,18.51,17.933,18.51,9691423
2010-05-24,18.516,18.95,18.51,18.84,8532470
2010-05-25,18.433,18.697,18.042,18.152,9234313
2010-05-26,18.39,19.474,18.39,19.474,46240526
2010-05-27,19.143,19.384,19.087,19.265,4340766
2010-05-28,19.275,19.33,19.032,19.253,3011887
2010-05-31,19.032,19.253,18.869,19.253,1358225
2010-06-01,19,19.241,18.73,19.176,4573937
2010-06-02,19.082,19.308,19.038,19.225,4136441
2010-06-04,19.176,19.308,18.813,18.813,4044745
2010-06-07,18.483,18.84,18.483,18.702,3290173
2010-06-08,18.713,18.923,18.648,18.648,22141995
2010-06-09,18.686,19.138,18.593,19.087,4021325
2010-06-10,18.938,19.324,18.938,19.253,5918910
2010-06-11,19.22,19.28,19.11,19.198,7205540
2010-06-14,19.198,19.445,19.087,19.346,3003762
2010-06-15,19.253,19.412,19.16,19.389,4862952
2010-06-16,19.4,19.445,19.044,19.384,6005681
2010-06-17,19.225,19.473,19.198,19.45,5427305
2010-06-18,19.396,19.736,19.396,19.665,20241601
2010-06-21,19.638,20.067,19.638,20.067,6276987
2010-06-22,19.831,19.984,19.72,19.803,3224479
2010-06-23,19.747,19.913,19.704,19.747,3759285
2010-06-24,19.747,19.858,19.528,19.528,3049843
2010-06-25,19.583,19.769,19.533,19.533,3931520
2010-06-28,19.561,19.621,19.28,19.362,1266754
2010-06-29,19.362,19.407,19.198,19.253,4217704
2010-06-30,19.253,19.473,19.225,19.253,1869443
2010-07-01,19.253,19.676,19.153,19.583,4152297
2010-07-02,19.407,19.803,19.407,19.474,3121614
2010-07-05,19.484,19.539,19.362,19.368,438103
2010-07-06,19.407,19.725,19.396,19.725,852357
2010-07-07,19.478,19.747,19.445,19.692,3769955
2010-07-08,19.803,20.067,19.583,19.743,7678304
2010-07-09,19.753,19.88,19.605,19.858,771558
2010-07-12,19.803,20.463,19.715,20.463,4624692
2010-07-13,20.369,20.792,20.369,20.792,4772447
2010-07-14,20.792,20.891,20.353,20.353,2105147
2010-07-15,20.353,20.573,20.297,20.353,722658
2010-07-16,20.243,20.655,20.243,20.243,1074882
2010-07-19,20.221,20.633,20.187,20.557,4781403
2010-07-20,20.519,20.557,20.297,20.358,1945378
2010-07-21,20.408,20.728,20.408,20.6,3419349
2010-07-22,20.573,21.013,20.524,21.013,4517034
2010-07-23,20.903,21.04,20.715,20.738,2534757
2010-07-26,21.069,21.431,20.858,21.354,3514613
2010-07-27,21.399,21.529,20.744,21.129,6451481
2010-07-28,21.288,21.288,20.848,20.855,1718608
2010-07-29,20.903,21.453,20.903,21.453,4993687
2010-07-30,21.453,21.705,21.315,21.672,7376836
2010-08-02,21.684,22.014,21.635,21.837,3866468
2010-08-03,21.837,22.069,21.811,21.947,2753417
2010-08-04,21.932,21.932,21.728,21.784,1115156
2010-08-05,21.728,21.943,21.618,21.866,4443024
2010-08-06,21.888,21.893,21.672,21.728,1107211
2010-08-09,21.645,21.728,20.92,21.013,2536554
2010-08-10,21.123,21.123,20.876,20.985,3187737
2010-08-11,20.985,21.04,20.682,20.738,2005149
2010-08-12,20.728,21.232,20.728,21.069,2383565
2010-08-13,21.409,21.618,21.195,21.338,1608035
2010-08-16,21.399,21.618,21.244,21.459,1071884
2010-08-17,21.453,21.453,21.018,21.177,1127801
2010-08-18,21.327,21.327,20.997,21.255,1593428
2010-08-19,21.244,21.453,21.123,21.174,2100996
2010-08-20,21.189,21.491,21.123,21.442,2331370
2010-08-23,21.673,22.217,21.629,22.098,2188195
2010-08-24,22.031,22.048,21.448,21.827,1680545
2010-08-25,21.708,21.929,21.38,21.476,1240289
2010-08-26,21.209,21.651,20.858,20.995,2597407
2010-08-27,20.882,21.143,20.882,21.143,1974342
2010-08-30,21.278,21.476,21.232,21.232,1992469
2010-08-31,21.051,21.368,20.939,21.368,3252266
2010-09-01,21.493,21.504,21.22,21.22,2105147
2010-09-02,21.385,21.47,21.198,21.198,1519968
2010-09-03,21.255,21.607,21.22,21.607,1187941
2010-09-06,21.64,21.872,21.64,21.872,1709710
2010-09-07,21.673,21.776,21.511,21.673,950392
2010-09-08,21.697,22.387,21.673,22.352,4747610
2010-09-09,22.126,22.625,22.076,22.597,3796408
2010-09-10,22.36,22.631,22.319,22.409,2859218
2010-09-13,22.625,22.636,22.387,22.472,3452642
2010-09-14,22.467,22.694,22.302,22.67,3587765
2010-09-15,22.642,22.749,22.455,22.749,2184163
2010-09-16,22.556,22.738,22.523,22.523,1436360
2010-09-17,22.597,22.777,22.296,22.777,4711652
2010-09-20,22.523,23.026,22.523,22.968,1711304
2010-09-21,22.968,23.626,22.87,23.258,4439445
2010-09-22,23.144,23.395,23.095,23.258,1957084
2010-09-23,23.213,23.265,22.653,22.694,3582924
2010-09-24,22.694,22.738,22.319,22.352,6387035
2010-09-27,22.579,22.681,22.495,22.523,1233533
2010-09-28,22.523,22.631,22.313,22.584,1487744
2010-09-29,22.523,22.694,22.352,22.523,2248953
2010-09-30,22.495,23.203,22.422,23.203,4634992
2010-10-01,22.87,23.191,22.636,22.636,1897716
2010-10-04,22.694,22.947,22.591,22.947,1694081
2010-10-05,22.862,22.914,22.584,22.794,2951284
2010-10-06,22.857,22.976,22.648,22.789,1601469
2010-10-07,22.687,22.914,22.352,22.352,1595022
2010-10-08,22.422,22.625,22.076,22.212,2209249
2010-10-11,22.326,22.444,22.183,22.341,1718846
2010-10-12,22.245,22.341,22.132,22.183,2136049
2010-10-13,22.268,22.488,22.2,22.409,6543200
2010-10-14,22.467,22.523,21.811,21.816,7798191
2010-10-15,21.837,21.957,21.624,21.731,2814257
2010-10-18,21.759,21.845,21.673,21.845,1933793
2010-10-19,21.845,22.212,21.816,22.019,3459077
2010-10-20,21.867,22.126,21.731,21.816,5285344
2010-10-21,22.013,22.013,21.392,21.673,2871316
2010-10-22,21.663,21.663,21.261,21.56,2391070
2010-10-25,21.673,21.673,21.171,21.22,1744418
2010-10-26,21.22,21.306,20.888,20.939,3069314
2010-10-27,21.051,21.498,21.051,21.336,4229290
2010-10-28,21.555,21.872,21.392,21.617,2511218
2010-10-29,21.645,21.69,21.165,21.398,2706005
2010-11-02,21.504,21.594,21.448,21.533,2012405
2010-11-03,21.533,21.56,21.22,21.22,2149812
2010-11-04,21.392,21.533,21.22,21.278,3698028
2010-11-05,21.38,21.663,21.278,21.59,2692124
2010-11-08,21.617,21.879,21.402,21.669,3254954
2010-11-09,21.521,21.957,21.415,21.792,4398539
2010-11-10,21.776,21.782,21.476,21.482,3246806
2010-11-12,21.108,21.278,20.898,20.939,8704990
2010-11-15,21.22,21.24,20.349,20.503,13640880
2010-11-16,20.542,20.542,20.13,20.264,8045432
2010-11-17,20.315,21.193,20.192,20.882,9272625
2010-11-18,20.775,21.13,20.683,20.831,25502442
2010-11-19,20.978,20.978,20.673,20.673,14462430
2010-11-22,20.932,20.984,20.712,20.724,7006971
2010-11-23,20.724,20.74,20.219,20.227,11294510
2010-11-24,20.367,20.514,20.208,20.311,12345982
2010-11-25,20.373,20.463,20.231,20.304,3755741
2010-11-26,20.287,20.304,19.835,19.976,8039485
2010-11-29,20.197,20.242,19.812,19.864,5744107
